Business.Name,NAISC,Specific Industry,Industry
Iron River Farms,111199,All Other Grain Farming,Farming
Completely Fresh,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Food
Case Farms,311615,Poultry Processing,Food
Givens Transportation,488510,Freight Transportation Arrangement,Freight
Freedom Railcar Solutions,336510,Railroad Rolling Stock Manufacturing,Manufacturing
Allied Metal Company,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Manufacturing
KING ZAK,326111,Plastics Bag and Pouch Manufacturing,Manufacturing
berks warehouse,493110,General Warehousing and Storage,Storage
"Tops Products, LLC",424120,Stationery and Office Supplies Merchant Wholesalers,Wholesale
Magnolia Foods,311615,Poultry Processing,Food
COLORADO INDUSTRIAL SUPPLY,423840,Industrial Supplies Merchant Wholesalers,Wholesale
Valero / Parkway Pipeline,486110,Pipeline Transportation of Crude Oil,Energy
J & J Farming LLC,111998,All Other Miscellaneous Crop Farming,Farming
Falcon Airport Services LLC,488119,Other Airport Operations,Transportation
Shepherds Processed Eggs,311615,Poultry Processing,Food
INDUSTRIAL PIPING SPECIALIST,332996,Fabricated Pipe and Pipe Fitting Manufacturing,Manufacturing
Benchmark Industrial,339999,All Other Miscellaneous Manufacturing,Manufacturing
New Tech Packaging,322211,Corrugated and Solid Fiber Box Manufacturing,Manufacturing
Kimberly Clark,322291,Sanitary Paper Product Manufacturing,Manufacturing
CORE X PERFORMANCE,541990,"All Other Professional, Scientific, and Technical Services",Professional Services
Sun State Nursery,111421,Nursery and Tree Production,Farming
Each+Every,541490,Other Specialized Design Services,Professional Services
Anderson Bakery,311812,Commercial Bakeries,Food
CDI LAWN EQUIPMENT,444220,"Nursery, Garden Center, and Farm Supply Stores",Retail
Pierre Landscape,561730,Landscaping Services,Professional Services
"A.C. Cartage, Inc.",484121,"General Freight Trucking, Long-Distance, Truckload",Freight
REDHEAD MEDICAL,339113,Surgical Appliance and Supplies Manufacturing,Manufacturing
North Eastern Equipment Sales & Rentals,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",Professional Services
"Keith's Power Equipment, Inc.",811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Professional Services
Agilent Technologies,334516,Analytical Laboratory Instrument Manufacturing,Manufacturing
Nashville Record Pressing,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",Manufacturing
"Tomar Industries, Inc.",322211,Corrugated and Solid Fiber Box Manufacturing,Manufacturing
"South Atlantic Services, Inc",493110,General Warehousing and Storage,Storage
Bobcat of Warsaw,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,Wholesale
Little Leaf Farms,111419,Other Food Crops Grown Under Cover,Farming
FRANK BELCHER SUPPLY,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
DOWNLITE,314120,Curtain and Linen Mills,Manufacturing
AGM Transport Inc,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Freight
Purtis Creek Farms,111199,All Other Grain Farming,Farming
BPR Rico Equipment,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,Professional Services
Millbrook Fisheries,112511,Finfish Farming and Fish Hatcheries,Farming
White Arrow,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
US 1 Logistics,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Sweet Street Desserts Inc.,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",Food
Red Bird Carriers,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Toms Tree Place,561730,Landscaping Services,Professional Services
Printcbf,323111,Commercial Printing (except Screen and Books),Manufacturing
Golub Corp.,445110,Supermarkets and Other Grocery (except Convenience) Stores,Retail
Pallet Express,321920,Wood Container and Pallet Manufacturing,Manufacturing
AMERICAN PACKAGING LLC,322211,Corrugated and Solid Fiber Box Manufacturing,Manufacturing
Moran Logistics,488510,Freight Transportation Arrangement,Freight
Wilkinson Auctions,561990,All Other Support Services,Professional Services
STP Ellermann,541330,Engineering Services,Professional Services
"L & L Pallet Supply, Inc",321920,Wood Container and Pallet Manufacturing,Manufacturing
Case Farms,311615,Poultry Processing,Food
GottaDo Contracting,236220,Commercial and Institutional Building Construction,Construction
Florexpo,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",Wholesale
"Berkshire Refrigerated Warehousing, LLC",493120,Refrigerated Warehousing and Storage,Storage
Valley Pacific,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Energy
Brown Farm Equipment,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,Wholesale
Le Best Banana,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Food
A.M. Woodland Outdoor Design,541320,Landscape Architectural Services,Professional Services
ASI Displays,339950,Sign Manufacturing,Manufacturing
McLane Global,424410,General Line Grocery Merchant Wholesalers,Food
Freedom Railcar Solutions,336510,Railroad Rolling Stock Manufacturing,Manufacturing
Kimberly Clark,322291,Sanitary Paper Product Manufacturing,Manufacturing
"Gourmet Wood Products, Inc",321999,All Other Miscellaneous Wood Product Manufacturing,Manufacturing
"Tomar Industries, Inc.",322211,Corrugated and Solid Fiber Box Manufacturing,Manufacturing
"Infinite Electronics Recycling, LLC",562920,Materials Recovery Facilities,Waste Management
"MDS Trucking V, Inc.",484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Falcon Airport Services LLC,488119,Other Airport Operations,Transportation
The Spiratex Company,326199,All Other Plastics Product Manufacturing,Manufacturing
Intercon,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
CA Tesch Equipment,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Professional Services
Save-A-Lot,445110,Supermarkets and Other Grocery (except Convenience) Stores,Retail
Jackson Packaging LLC,322211,Corrugated and Solid Fiber Box Manufacturing,Manufacturing
CEI Certified Express Inc.,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Freight
Today Cartage Inc.,484110,"General Freight Trucking, Local",Freight
Studio Zewde,541310,Architectural Services,Professional Services
Greer Trucking LLc,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Stafford County Sheriff's Office,922120,Police Protection,Government
Empire National Inc,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
J H ROUTH PACKING,311611,Animal (except Poultry) Slaughtering,Food
Swift Printing,323111,Commercial Printing (except Screen and Books),Manufacturing
Major Taxidermy,711510,"Independent Artists, Writers, and Performers",Professional Services
Continuum Transportation,488510,Freight Transportation Arrangement,Freight
Ford Motor Company,336111,Automobile Manufacturing,Manufacturing
FRANK BELCHER SUPPLY,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
"Patriot Energy Services, Inc.",221118,Other Electric Power Generation,Energy
top road pa,484110,"General Freight Trucking, Local",Freight
TDEC,541620,Environmental Consulting Services,Professional Services
M&J Transportation Co.,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
HMD Construction Group,236220,Commercial and Institutional Building Construction,Construction
Frito - Lay,311919,Other Snack Food Manufacturing,Food
Goodwill of the Heartland,624310,Vocational Rehabilitation Services,Nonprofit
ABC Warehouse,443141,Household Appliance Stores,Retail
Bush Brothers & Co.,311423,Dried and Dehydrated Food Manufacturing,Food
Albertsons,445110,Supermarkets and Other Grocery (except Convenience) Stores,Retail
Banmar Taxidermy,711510,"Independent Artists, Writers, and Performers",Professional Services
Bravo Systems Inc.,339999,All Other Miscellaneous Manufacturing,Manufacturing
"Dedicated Freight, Inc.",484121,"General Freight Trucking, Long-Distance, Truckload",Freight
MAGNOLIA FOODS,311615,Poultry Processing,Food
VSS CARREIRS,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
DMX EXPRESS LLC,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Total Quality Logistics,488510,Freight Transportation Arrangement,Freight
Parktelusa,493110,General Warehousing and Storage,Storage
Dismal Swamp Taxidermy,711510,"Independent Artists, Writers, and Performers",Professional Services
Wall's Gator Farm II,112519,Other Animal Production,Farming
Procacci Brothers,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Food
Kingspan,326140,Polystyrene Foam Product Manufacturing,Manufacturing
Cooksey Transportation Company LLC,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
"Crane Rental Service, Inc.",532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",Professional Services
Do It Best,444130,Hardware Stores,Retail
Pepsi,312111,Soft Drink Manufacturing,Food
Reddinger taxidermy,711510,"Independent Artists, Writers, and Performers",Professional Services
Memphis PDC --- Ford Motor C0,336111,Automobile Manufacturing,Manufacturing
Cardiff School District,611110,Elementary and Secondary Schools,Education
Dusty Lane Farms LLC,111199,All Other Grain Farming,Farming
"New Era Logistics, Inc.",488510,Freight Transportation Arrangement,Freight
Hawaiian Legacy Reforestation Initiative,115310,Support Activities for Forestry,Environmental Services
US 1 Logistics,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
ENCINITAS UNION SCHOOL DISTRICT,611110,Elementary and Secondary Schools,Education
COLLINS MACHINE WORKS,332710,Machine Shops,Manufacturing
Net PAC International,541613,Marketing Consulting Services,Professional Services
COLORADO INDUSTRIAL SUPPLY,423840,Industrial Supplies Merchant Wholesalers,Wholesale
Llads Ventures Inc,523930,Investment Advice,Professional Services
Hudson Valley Creamery,311513,Cheese Manufacturing,Food
Millbrook Fisheries,112511,Finfish Farming and Fish Hatcheries,Farming
DSSI,541611,Administrative Management and General Management Consulting Services,Professional Services
"Sutherland Products, Inc.",325611,Soap and Other Detergent Manufacturing,Manufacturing
Sleepy Creek Tannery,316110,Leather and Hide Tanning and Finishing,Manufacturing
Williamson Cold Storage,493120,Refrigerated Warehousing and Storage,Storage
Edmunds Foods,311999,All Other Miscellaneous Food Manufacturing,Food
Artisan Outdoor Living,561730,Landscaping Services,Professional Services
Case Farms,311615,Poultry Processing,Food
J H ROUTH PACKING,311611,Animal (except Poultry) Slaughtering,Food
DSSI,541611,Administrative Management and General Management Consulting Services,Professional Services
"MR. BRANDS, LLC",424490,Other Grocery and Related Products Merchant Wholesalers,Food
Ford Motor Company,336111,Automobile Manufacturing,Manufacturing
The Choctaw Nation of Oklahoma-Environmental,813319,Other Social Advocacy Organizations,Nonprofit
Trade International Group,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,Wholesale
GAF,324122,Asphalt Shingle and Coating Materials Manufacturing,Manufacturing
Pepsi,312111,Soft Drink Manufacturing,Food
West Paw,339999,All Other Miscellaneous Manufacturing,Manufacturing
Toro Xpress Logistics LLC,488510,Freight Transportation Arrangement,Freight
FRANK BELCHER SUPPLY,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
VSS CARREIRS,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
"Frank J. Zitz & Co., Inc.",423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",Wholesale
CCG,541611,Administrative Management and General Management Consulting Services,Professional Services
Local Teamsters 707,813930,Labor Unions and Similar Labor Organizations,Nonprofit
Wincorp International,541618,Other Management Consulting Services,Professional Services
Ford Motor Company-Houston HVC,336111,Automobile Manufacturing,Manufacturing
USHYdrations,312112,Bottled Water Manufacturing,Food
Islamic Association of Collin County,813110,Religious Organizations,Nonprofit
"Kyrie Global, Inc",423490,Other Professional Equipment and Supplies Merchant Wholesalers,Wholesale
National Consolidation Services,488999,All Other Support Activities for Transportation,Freight
McLane Global,424410,General Line Grocery Merchant Wholesalers,Food
"Vienna Beef, LTD.",311611,Animal (except Poultry) Slaughtering,Food
Huntleigh USA Corporation,488119,Other Airport Operations,Transportation
BAKERY EXPRESS MID-ATLANTIC,311812,Commercial Bakeries,Food
Emmorey Transportation LLC,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
The Home Depot,444110,Home Centers,Retail
INTERSTATE SUPPLIES SERVICE,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
NYSCO,448190,Other Clothing Stores,Retail
Swift Printing,323111,Commercial Printing (except Screen and Books),Manufacturing
Buy Supply,423840,Industrial Supplies Merchant Wholesalers,Wholesale
"S A MEADE EXPRESS , INC.",484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Genesis Intermodal,488510,Freight Transportation Arrangement,Freight
Healthcare Glendale LLC,623110,Nursing Care Facilities (Skilled Nursing Facilities),Healthcare
United Farms of Oasis,111998,All Other Miscellaneous Crop Farming,Farming
Case Farms,311615,Poultry Processing,Food
Kimberly Clark,322291,Sanitary Paper Product Manufacturing,Manufacturing
"MKW + Associates, LLC",541320,Landscape Architectural Services,Professional Services
Walmart,452319,All Other General Merchandise Stores,Retail
Johnston,452319,All Other General Merchandise Stores,Retail
PL Developments,325412,Pharmaceutical Preparation Manufacturing,Manufacturing
Neway Packaging Corporation,322211,Corrugated and Solid Fiber Box Manufacturing,Manufacturing
Millbrook Fisheries,112511,Finfish Farming and Fish Hatcheries,Farming
Sun State Nursery,111421,Nursery and Tree Production,Farming
Astra Foods,424420,Packaged Frozen Food Merchant Wholesalers,Food
TDEC,541620,Environmental Consulting Services,Professional Services
Magnolia Foods,311615,Poultry Processing,Food
NoiGi Inc,424490,Other Grocery and Related Products Merchant Wholesalers,Food
Galaxy Freight,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Pepsico,312111,Soft Drink Manufacturing,Food
Millennium Print Group,323111,Commercial Printing (except Screen and Books),Manufacturing
Unlimited Carrier,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
N2 distributions,424490,Other Grocery and Related Products Merchant Wholesalers,Food
Each+Every,541613,Marketing Consulting Services,Professional Services
"Biowest USA, INC.",424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
Booe Machinery & Salvage,423930,Recyclable Material Merchant Wholesalers,Waste Management
Clean Harbors,562910,Remediation Services,Environmental Services
Midwest Furs,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",Wholesale
US Army,928110,National Security,Government
Freight Ready LLC,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
PSS Distribution Services,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,Wholesale
Company Molded Products Inc.,326199,All Other Plastics Product Manufacturing,Manufacturing
NGL Terminal Supply Company,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Energy
Willford Coo,541990,"All Other Professional, Scientific, and Technical Services",Professional Services
Case Farms,311615,Poultry Processing,Food
Harrison Poultry,311615,Poultry Processing,Food
2 Towns Cider House,312120,Breweries,Food
walls gator farm II,112519,Other Animal Production,Farming
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
Cup Karts North America,711219,Other Spectator Sports,Entertainment
Ground Studio,541310,Architectural Services,Professional Services
FRANK BELCHER SUPPLY,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
TDEC,541620,Environmental Consulting Services,Professional Services
Dolomite products,327320,Ready-Mix Concrete Manufacturing,Manufacturing
OLEM SHOE CORP,316210,Footwear Manufacturing,Manufacturing
Performance Cold Storage,493120,Refrigerated Warehousing and Storage,Storage
Alphalog Corporation,541611,Administrative Management and General Management Consulting Services,Professional Services
Bravo Systems Inc.,339999,All Other Miscellaneous Manufacturing,Manufacturing
Singh Trucklines LLC,484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Jeffrey Zangari,541990,"All Other Professional, Scientific, and Technical Services",Professional Services
"D. E. Hartman Trucking, Inc.",484121,"General Freight Trucking, Long-Distance, Truckload",Freight
Nucor Steel Brandenburg,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Manufacturing
FRANK BELCHER SUPPLY,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
Spiegelberg,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Freight
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
Cargill,311615,Poultry Processing,Food
falcon express,484110,"General Freight Trucking, Local",Freight
Performance FoodService,424410,General Line Grocery Merchant Wholesalers,Food
State of Maryland,921110,Executive Offices,Government
Windsor,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Retail
walls gator farm II,112519,Other Animal Production,Farming
BAKERY EXPRESS MID-ATLANTIC,311812,Commercial Bakeries,Food
FRANK BELCHER SUPPLY,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
Superbloom,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Food
walls gator farm II,112519,Other Animal Production,Farming
ETL LLC dba Oxygenics,339113,Surgical Appliance and Supplies Manufacturing,Manufacturing
Idaho Falls - Main Warehouse,493110,General Warehousing and Storage,Storage
Intermode,488510,Freight Transportation Arrangement,Freight
Austin Bin Wash LLC,812320,Drycleaning and Laundry Services (except Coin-Operated),Services
OPOTEK,334516,Analytical Laboratory Instrument Manufacturing,Manufacturing
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
Show Me Global Logistics,488510,Freight Transportation Arrangement,Freight
Kelvin Cooperage,321920,Wood Container and Pallet Manufacturing,Manufacturing
Case Farms,311615,Poultry Processing,Food
Mantle Landscape Architecture,541320,Landscape Architectural Services,Professional Services
Chobani Idaho,311511,Fluid Milk Manufacturing,Food
Whole Cubes LLC,424490,Other Grocery and Related Products Merchant Wholesalers,Food
Minnesota Freezer Warehouse Company,493120,Refrigerated Warehousing and Storage,Storage
National Consolidation Services,488999,All Other Support Activities for Transportation,Freight
Petco,453910,Pet and Pet Supplies Stores,Retail
Jetco Delivery,484110,"General Freight Trucking, Local",Freight
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
CAMACO,336360,Motor Vehicle Seating and Interior Trim Manufacturing,Manufacturing
Pepsi,312111,Soft Drink Manufacturing,Food
Rapid Intermodal,488510,Freight Transportation Arrangement,Freight
Beaupre Fuels,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Energy
walls gator farm II,112519,Other Animal Production,Farming
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
BAY SHIP YACHT,336611,Ship Building and Repairing,Manufacturing
Magnolia Foods LLC,311615,Poultry Processing,Food
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
We Ship Express,488510,Freight Transportation Arrangement,Freight
PL Developments,325412,Pharmaceutical Preparation Manufacturing,Manufacturing
"Roaring Spring Park, LLC",713990,All Other Amusement and Recreation Industries,Entertainment
WARDLEY INDUSTRIAL INC,332710,Machine Shops,Manufacturing
Clark Auction Company,531210,Offices of Real Estate Agents and Brokers,Real Estate
FRANK BELCHER SUPPLY,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
Traplines North Taxidermy Services,812990,All Other Personal Services,Services
Cargill,311615,Poultry Processing,Food
Performance Cold Storage,493120,Refrigerated Warehousing and Storage,Storage
